location,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,hour,holiday
강남구,0,0,0,1,0,0,0,13,11,0
강남구,0,0,0,1,0,0,0,13,12,0
강남구,0,0,0,1,0,0,0,13,13,0
강남구,0,0,0,1,0,0,0,13,14,0
강남구,0,0,0,1,0,0,0,13,15,0
강남구,0,0,0,1,0,0,0,13,16,0
강남구,0,0,0,1,0,0,0,13,17,0
강남구,0,0,0,1,0,0,0,13,18,0
강남구,0,0,0,1,0,0,0,13,19,0
강남구,0,0,0,1,0,0,0,13,20,0
강남구,0,0,0,1,0,0,0,13,21,0
강남구,0,0,0,1,0,0,0,13,22,0
강남구,0,0,0,1,0,0,0,13,23,0
강남구,0,0,0,0,1,0,0,14,0,0
강남구,0,0,0,0,1,0,0,14,1,0
강남구,0,0,0,0,1,0,0,14,2,0
강남구,0,0,0,0,1,0,0,14,3,0
강남구,0,0,0,0,1,0,0,14,4,0
강남구,0,0,0,0,1,0,0,14,5,0
강남구,0,0,0,0,1,0,0,14,6,0
강남구,0,0,0,0,1,0,0,14,7,0
강남구,0,0,0,0,1,0,0,14,8,0
강남구,0,0,0,0,1,0,0,14,9,0
강남구,0,0,0,0,1,0,0,14,10,0
강남구,0,0,0,0,1,0,0,14,11,0
강남구,0,0,0,0,1,0,0,14,12,0
강남구,0,0,0,0,1,0,0,14,13,0
강남구,0,0,0,0,1,0,0,14,14,0
강남구,0,0,0,0,1,0,0,14,15,0
강남구,0,0,0,0,1,0,0,14,16,0
강남구,0,0,0,0,1,0,0,14,17,0
강남구,0,0,0,0,1,0,0,14,18,0
강남구,0,0,0,0,1,0,0,14,19,0
강남구,0,0,0,0,1,0,0,14,20,0
강남구,0,0,0,0,1,0,0,14,21,0
강남구,0,0,0,0,1,0,0,14,22,0
강남구,0,0,0,0,1,0,0,14,23,0
강남구,0,0,0,0,0,1,0,15,0,0
강남구,0,0,0,0,0,1,0,15,1,0
강남구,0,0,0,0,0,1,0,15,2,0
강남구,0,0,0,0,0,1,0,15,3,0
강남구,0,0,0,0,0,1,0,15,4,0
강남구,0,0,0,0,0,1,0,15,5,0
강남구,0,0,0,0,0,1,0,15,6,0
강남구,0,0,0,0,0,1,0,15,7,0
강남구,0,0,0,0,0,1,0,15,8,0
강남구,0,0,0,0,0,1,0,15,9,0
강남구,0,0,0,0,0,1,0,15,10,0
강남구,0,0,0,0,0,1,0,15,11,0
강남구,0,0,0,0,0,1,0,15,12,0
강남구,0,0,0,0,0,1,0,15,13,0
강남구,0,0,0,0,0,1,0,15,14,0
강남구,0,0,0,0,0,1,0,15,15,0
강남구,0,0,0,0,0,1,0,15,16,0
강남구,0,0,0,0,0,1,0,15,17,0
강남구,0,0,0,0,0,1,0,15,18,0
강남구,0,0,0,0,0,1,0,15,19,0
강남구,0,0,0,0,0,1,0,15,20,0
강남구,0,0,0,0,0,1,0,15,21,0
강남구,0,0,0,0,0,1,0,15,22,0
강남구,0,0,0,0,0,1,0,15,23,0
강남구,0,0,0,0,0,0,1,16,0,0
강남구,0,0,0,0,0,0,1,16,1,0
강남구,0,0,0,0,0,0,1,16,2,0
강남구,0,0,0,0,0,0,1,16,3,0
강남구,0,0,0,0,0,0,1,16,4,0
강남구,0,0,0,0,0,0,1,16,5,0
강남구,0,0,0,0,0,0,1,16,6,0
강남구,0,0,0,0,0,0,1,16,7,0
강남구,0,0,0,0,0,0,1,16,8,0
강남구,0,0,0,0,0,0,1,16,9,0
강남구,0,0,0,0,0,0,1,16,10,0
강남구,0,0,0,0,0,0,1,16,11,0
강남구,0,0,0,0,0,0,1,16,12,0
강남구,0,0,0,0,0,0,1,16,13,0
강남구,0,0,0,0,0,0,1,16,14,0
강남구,0,0,0,0,0,0,1,16,15,0
강남구,0,0,0,0,0,0,1,16,16,0
강남구,0,0,0,0,0,0,1,16,17,0
강남구,0,0,0,0,0,0,1,16,18,0
강남구,0,0,0,0,0,0,1,16,19,0
강남구,0,0,0,0,0,0,1,16,20,0
강남구,0,0,0,0,0,0,1,16,21,0
강남구,0,0,0,0,0,0,1,16,22,0
강남구,0,0,0,0,0,0,1,16,23,0
강남구,1,0,0,0,0,0,0,17,0,0
강남구,1,0,0,0,0,0,0,17,1,0
강남구,1,0,0,0,0,0,0,17,2,0
강남구,1,0,0,0,0,0,0,17,3,0
강남구,1,0,0,0,0,0,0,17,4,0
