date,time,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
6,9,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6,10,4,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,2,0,0,0,0,2,0,4,0,0,0,0,4,0,3,0,0,1,0,0,0,0,2,0,5
6,12,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,2,0,0,0
6,13,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6,14,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,6,0,0,0,0,2,0,0
6,15,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0
6,17,0,4,0,2,2,0,0,0,0,1,3,0,0,0,2,0,4,2,0,0,4,0,0,0,4
6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4
6,19,4,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
6,20,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
6,21,3,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0
6,22,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,10,0,0,0,0,2,0,0,0
6,23,3,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,1,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,2,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
7,5,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,11
7,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,0,0,3
7,10,0,0,0,0,0,0,0,2,0,0,2,0,0,3,8,0,1,9,0,2,0,0,0,0,0
7,11,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
7,12,0,0,4,0,2,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0
7,13,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,2,0
7,14,2,0,0,5,0,0,0,6,0,8,0,1,0,0,0,0,2,0,3,0,0,0,1,0,0
7,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,0
7,16,3,5,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,3,0,0
7,17,0,2,0,0,3,0,4,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0
7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
7,19,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,4,0,2,7,0,0
7,20,2,0,0,0,0,2,0,0,2,0,0,0,0,4,5,0,2,7,0,0,0,0,0,0,0
7,21,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,2,0,0,3,0,0,0,0,0,0
7,22,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,23,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,2,2,0,0,0,0,3,0,0,0
8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,7,3,0,0,0,0,0,0,0,0,0
8,1,5,3,0,0,6,0,0,0,0,0,0,3,0,0,0,5,0,2,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
